Absidia idahoensis var. thermophila
Acaryochloris marina MBIC11017
Acetobacter pasteurianus 386B
Acetobacter pasteurianus IFO 3283-01-42C IFO 3283 substr. IFO 3283-01-42C
Acetobacter pasteurianus IFO 3283-01 IFO 3283 substr. IFO 3283-01
Acetobacter pasteurianus IFO 3283-03 IFO 3283 substr. IFO 3283-03
Acetobacter pasteurianus IFO 3283-07 IFO 3283 substr. IFO 3283-07
Acetobacter pasteurianus IFO 3283-12 IFO 3283 substr. IFO 3283-12
Acetobacter pasteurianus IFO 3283-22 IFO 3283 substr. IFO 3283-22
Acetobacter pasteurianus IFO 3283-26 IFO 3283 substr. IFO 3283-26
Acetobacter pasteurianus IFO 3283-32 IFO 3283 substr. IFO 3283-32
Acetobacterium woodii DSM 1030
Acetohalobium arabaticum DSM 5501
Acholeplasma brassicae O502
Acholeplasma laidlawii PG-8A
Acholeplasma palmae J233
Achromobacter xylosoxidans A8
Achromobacter xylosoxidans C54
Achromobacter xylosoxidans NH44784-1996
Acidaminococcus fermentans DSM 20731
Acidaminococcus intestini RyC-MR95
Acidianus hospitalis W1
Acidilobus saccharovorans 345-15
Acidimicrobium ferrooxidans DSM 10331
Acidiphilium cryptum JF-5
Acidiphilium multivorum AIU301
Acidithiobacillus caldus ATCC 51756
Acidithiobacillus caldus SM-1
Acidithiobacillus ferrivorans SS3
Acidithiobacillus ferrooxidans ATCC 23270
Acidithiobacillus ferrooxidans ATCC 53993
Acidobacterium capsulatum ATCC 51196
Acidothermus cellulolyticus 11B ATCC 43068
Acidovorax avenae subsp. avenae ATCC 19860
Acidovorax citrulli AAC00-1
Acidovorax ebreus TPSY
Acidovorax sp. JS42
Acidovorax sp. KKS102
Aciduliprofundum boonei T469
Aciduliprofundum sp. MAR08-339
Acinetobacter baumannii 1656-2
Acinetobacter baumannii 6200
Acinetobacter baumannii 6411
Acinetobacter baumannii A1
Acinetobacter baumannii AB0057
Acinetobacter baumannii AB030
Acinetobacter baumannii AB031
Acinetobacter baumannii AB307-0294
Acinetobacter baumannii AB5075-UW
Acinetobacter baumannii AC12
