
code	|	name	|	preferred name	|	taxid
1	|	Absidia idahoensis var. thermophila	|	 	|	572092
1	|	Acaryochloris marina MBIC11017	|	 	|	329726
1	|	Acetobacter pasteurianus 386B	|	 	|	1266844
3	|	Acetobacter pasteurianus IFO 3283-01-42C IFO 3283 substr. IFO 3283-01-42C	|	 	|	 
3	|	Acetobacter pasteurianus IFO 3283-01 IFO 3283 substr. IFO 3283-01	|	 	|	 
3	|	Acetobacter pasteurianus IFO 3283-03 IFO 3283 substr. IFO 3283-03	|	 	|	 
3	|	Acetobacter pasteurianus IFO 3283-07 IFO 3283 substr. IFO 3283-07	|	 	|	 
3	|	Acetobacter pasteurianus IFO 3283-12 IFO 3283 substr. IFO 3283-12	|	 	|	 
3	|	Acetobacter pasteurianus IFO 3283-22 IFO 3283 substr. IFO 3283-22	|	 	|	 
3	|	Acetobacter pasteurianus IFO 3283-26 IFO 3283 substr. IFO 3283-26	|	 	|	 
3	|	Acetobacter pasteurianus IFO 3283-32 IFO 3283 substr. IFO 3283-32	|	 	|	 
1	|	Acetobacterium woodii DSM 1030	|	 	|	931626
1	|	Acetohalobium arabaticum DSM 5501	|	 	|	574087
3	|	Acholeplasma brassicae O502	|	 	|	 
1	|	Acholeplasma laidlawii PG-8A	|	 	|	441768
1	|	Acholeplasma palmae J233	|	Alteracholeplasma palmae J233	|	1318466
1	|	Achromobacter xylosoxidans A8	|	 	|	762376
1	|	Achromobacter xylosoxidans C54	|	 	|	562971
1	|	Achromobacter xylosoxidans NH44784-1996	|	 	|	1167634
1	|	Acidaminococcus fermentans DSM 20731	|	 	|	591001
1	|	Acidaminococcus intestini RyC-MR95	|	 	|	568816
1	|	Acidianus hospitalis W1	|	 	|	933801
1	|	Acidilobus saccharovorans 345-15	|	 	|	666510
1	|	Acidimicrobium ferrooxidans DSM 10331	|	 	|	525909
1	|	Acidiphilium cryptum JF-5	|	 	|	349163
1	|	Acidiphilium multivorum AIU301	|	 	|	926570
