Acetobacter pasteurianus
Acholeplasma brassicae
Acidothermus cellulolyticus
Acinetobacter baumannii
Actinobacillus equuli
Actinobaculum schaalii
Aeromonas hydrophila
Agaricus bisporus
Agrobacterium tumefaciens
Algoriphagus machipongonensis
Alteromonas australica
Alteromonas macleodii
Amycolatopsis japonica
Aplysia californica
Arthrobacter aurescens
Ascosphaera apis
Aspergillus kawachii
Aster yellows
Azospirillum brasilense
Azotobacter vinelandii
Bacillus amyloliquefaciens
Bacillus anthracis
Bacillus atrophaeus
Bacillus cereus
Bacillus coagulans
Bacillus licheniformis
Bacillus methylotrophicus
Bacillus mycoides
Bacillus pumilus
Bacillus sp.
Bacillus subtilis
Bacillus thuringiensis
Bacillus weihenstephanensis
Bacteroides fragilis
Barnesiella viscericola
Bartonella bacilliformis
Bartonella henselae
Bartonella tribocorum
Bdellovibrio bacteriovorus
Bifidobacterium adolescentis
Bifidobacterium animalis
Bifidobacterium coryneforme
Bifidobacterium longum
Blattabacterium sp.
Blochmannia endosymbiont
Bordetella bronchiseptica
Borrelia chilensis
Borrelia miyamotoi
Brachypodium distachyon
Brachyspira hyodysenteriae
Bradyrhizobium diazoefficiens
Bradyrhizobium japonicum
Bradyrhizobium sp.
Brevibacillus brevis
Brucella abortus
Brucella canis
Brucella melitensis
Brucella pinnipedialis
Brucella suis
Burkholderia cenocepacia
Burkholderia cepacia
Burkholderia fungorum
Burkholderia gladioli
Burkholderia lata
Burkholderia mallei
Burkholderia multivorans
Burkholderia pseudomallei
Burkholderia thailandensis
Campylobacter coli
Campylobacter fetus
Campylobacter iguaniorum
Campylobacter jejuni
Campylobacter lari
Candida tropicalis
Capronia semiimmersa
Cedecea neteri
Celeribacter indicus
Cellulophaga lytica
Chlamydia muridarum
Chlamydia trachomatis
Chlamydophila abortus
Cladophialophora immunda
Clavibacter michiganensis
Clostridium beijerinckii
Clostridium botulinum
Clostridium cellulolyticum
Clostridium saccharoperbutylacetonicum
Clostridium scatologenes
Clostridium sordellii
Clostridium sporogenes
Clostridium tetani
Collimonas arenae
Colwellia psychrerythraea
Comamonas testosteroni
Corynebacterium atypicum
Corynebacterium camporealensis
Corynebacterium falsenii
Corynebacterium glutamicum
Corynebacterium imitans
Corynebacterium kutscheri
Corynebacterium pseudotuberculosis
Corynebacterium singulare
Corynebacterium ulcerans
Corynebacterium ureicelerivorans
Coxiella burnetii
Cricetulus griseus
Cronobacter sakazakii
Cupriavidus basilensis
Cupriavidus taiwanensis
Cyberlindnera jadinii
Cycloclasticus sp.
Dehalobacter restrictus
Deinococcus swuensis
Dermacoccus nishinomiyaensis
Desulfitobacterium metallireducens
Desulfovibrio vulgaris
Dictyoglomus thermophilum
Draconibacterium orientale
Drosophila simulans
Dyella jiangningensis
Endocarpon pusillum
Enterobacter cloacae
Enterococcus faecium
Enterococcus mundtii
Escherichia coli
Exiguobacterium antarcticum
Exophiala mesophila
Exophiala oligosperma
Exophiala sideris
Exophiala spinifera
Exophiala xenobiotica
Faecalibacterium prausnitzii
Flavobacterium johnsoniae
Flavobacterium psychrophilum
Francisella guangzhouensis
Francisella philomiragia
Francisella tularensis
Frankia alni
Frankia sp.
Frankia symbiont
Fretibacterium fastidiosum
Frischella perrara
Fusarium graminearum
Fusarium pseudograminearum
Fusobacterium nucleatum
Geoalkalibacter subterraneus
Geobacillus thermoleovorans
Geobacter pickeringii
Geobacter sulfurreducens
Geoglobus acetivorans
Gilliamella apicola
Gluconacetobacter diazotrophicus
Glycine max
Gordonibacter pamelaeae
Haemophilus influenzae
Haemophilus parasuis
Haloarcula hispanica
Halobacterium salinarum
Haloferax mediterranei
Halogeometricum borinquense
Halomonas campaniensis
Haloquadratum walsbyi
Halothermothrix orenii
Helicobacter pylori
Heliobacterium modesticaldum
Homoloaphlyctis polyrhiza
Jeotgalicoccus sp.
Klebsiella michiganensis
Klebsiella oxytoca
Klebsiella pneumoniae
Klebsiella variicola
Kocuria rhizophila
Lachancea lanzarotensis
Lactobacillus acidophilus
Lactobacillus helveticus
Lactobacillus plantarum
Lactobacillus rhamnosus
Lactobacillus salivarius
Lactococcus lactis
Legionella hackeliae
Legionella oakridgensis
Legionella pneumophila
Leisingera methylohalidivorans
Leptospira biflexa
Leptotrichia buccalis
Listeria ivanovii
Listeria monocytogenes
Lysinibacillus fusiformis
Lysinibacillus varians
Magnaporthe oryzae
Mannheimia haemolytica
Marichromatium purpuratum
Marinobacter salarius
Marinobacter similis
Marssonina brunnea
Martelella endophytica
Medicago truncatula
Mesoplasma florum
Metallosphaera sedula
Methanobacterium formicicum
Methanobacterium lacus
Methanobacterium paludis
Methanobrevibacter smithii
Methanoculleus bourgensis
Methyloceanibacter caenitepidi
Methylophaga frappieri
Methylophaga nitratireducenticrescens
Micrococcus luteus
Moraxella catarrhalis
Mrakia frigida
Mucor ambiguus
Muricauda lutaonensis
Mycobacterium abscessus
Mycobacterium avium
Mycobacterium bovis
Mycobacterium chelonae
Mycobacterium smegmatis
Mycobacterium tuberculosis
Mycoplasma californicum
Mycoplasma canadense
Mycoplasma capricolum
Mycoplasma conjunctivae
Mycoplasma dispar
Mycoplasma flocculare
Mycoplasma gallisepticum
Mycoplasma genitalium
Mycoplasma hominis
Mycoplasma meleagridis
Mycoplasma mycoides
Mycoplasma pneumoniae
Mycoplasma synoviae
Myroides profundi
Natronomonas pharaonis
Neisseria meningitidis
Neurospora crassa
Niabella soli
Nilaparvata lugens
Nocardia brasiliensis
Nostoc punctiforme
Ochrobactrum anthropi
Odoribacter splanchnicus
Oligotropha carboxidovorans
Onion yellows
Paenibacillus beijingensis
Paenibacillus borealis
Paenibacillus durus
Paenibacillus graminis
Paenibacillus odorifer
Paenibacillus polymyxa
Paenibacillus stellifer
Pandoraea apista
Pandoraea oxalativorans
Pandoraea pnomenusa
