taxid	GenomeID	superkingdom	kingdom	phylum	class	order	family	genus	Domain	Group	SubGroup	size_gen	Genes	ntrna_gen	GC	Status	levels	filt
1343077	Cand_Nasu_deltocephalinicola_NAS_ALF	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Betaproteobacteria	Ord_of_unclassified Betaproteobacteria	Fam_unclassified Betaproteobacteria	Candidatus Nasuia	Bacteria	Proteobacteria	Betaproteobacteria	0.112091	165	29	17.1	Complete Genome	Bacteria	no
891398	Cand_Trem_princeps_PCIT	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Betaproteobacteria	Ord_of_unclassified Betaproteobacteria	Fam_unclassified Betaproteobacteria	Candidatus Tremblaya	Bacteria	Proteobacteria	Betaproteobacteria	0.138927	193	16	58.8	Complete Genome	Bacteria	no
1053648	Cand_Trem_princeps_PCVAL	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Betaproteobacteria	Ord_of_unclassified Betaproteobacteria	Fam_unclassified Betaproteobacteria	Candidatus Tremblaya	Bacteria	Proteobacteria	Betaproteobacteria	0.138931	194	16	58.8	Complete Genome	Bacteria	no
573234	Cand_Hodg_cicadicola_Dsem	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Fam_unclassified Rhizobiales	Candidatus Hodgkinia	Bacteria	Proteobacteria	Alphaproteobacteria	0.143795	188	14	58.4	Complete Genome	Bacteria	no
1202539	Cand_Cars_ruddii_HT_isolate_Thao2000	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Candidatus Carsonella	Bacteria	Proteobacteria	Gammaproteobacteria	0.157543	202	26	14.6	Complete Genome	Bacteria	no
387662	Cand_Cars_ruddii_PV	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Candidatus Carsonella	Bacteria	Proteobacteria	Gammaproteobacteria	0.159662	205	26	16.6	Complete Genome	Bacteria	no
1202540	Cand_Cars_ruddii_PC_isolate_NHV	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Candidatus Carsonella	Bacteria	Proteobacteria	Gammaproteobacteria	0.159923	207	27	15.6	Complete Genome	Bacteria	no
1202537	Cand_Cars_ruddii_CS_isolate_Thao2000	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Candidatus Carsonella	Bacteria	Proteobacteria	Gammaproteobacteria	0.162504	209	26	14.2	Complete Genome	Bacteria	no
1202536	Cand_Cars_ruddii_CE_isolate_Thao2000	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Candidatus Carsonella	Bacteria	Proteobacteria	Gammaproteobacteria	0.162589	210	27	14	Complete Genome	Bacteria	no
1202538	Cand_Cars_ruddii_HC_isolate_Thao2000	Bacteria	Kin_of_Proteobacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Candidatus Carsonella	Bacteria	Proteobacteria	Gammaproteobacteria	0.166163	223	24	14.2	Complete Genome	Bacteria	no
